Year,Age,Name,Movie,year,age,name,movie
,,,,2016.0,41.0,Casey Affleck,Manchester by the Sea
,,,,2016.0,28.0,Emma Stone,La La Land
,,,,2017.0,59.0,Gary Oldman,Darkest Hour
,,,,2017.0,60.0,Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
,,,,2018.0,37.0,Rami Malek,Bohemian Rhapsody
,,,,2018.0,44.0,Olivia Colman,The Favourite
,,,,2019.0,45.0,Joaquin Phoenix,Joker
,,,,2019.0,50.0,Renée Zellweger,Judy
,,,,2020.0,83.0,Anthony Hopkins,The Father
,,,,2020.0,63.0,Frances McDormand,Nomadland
,,,,2021.0,53.0,Will Smith,King Richard
,,,,2021.0,44.0,Jessica Chastain,The Eyes of Tammy Faye
,,,,2022.0,54.0,Brendan Fraser,The Whale
,,,,2022.0,60.0,Michelle Yeoh,Everything Everywhere All at Once
1928.0,44.0,Emil Jannings,"The Last Command, The Way of All Flesh",,,,
1929.0,41.0,Warner Baxter,In Old Arizona,,,,
1930.0,62.0,George Arliss,Disraeli,,,,
1931.0,53.0,Lionel Barrymore,A Free Soul,,,,
1932.0,47.0,Wallace Beery,The Champ,,,,
1933.0,35.0,Fredric March,Dr. Jekyll and Mr. Hyde,,,,
1934.0,34.0,Charles Laughton,The Private Life of Henry VIII,,,,
1935.0,34.0,Clark Gable,It Happened One Night,,,,
1936.0,49.0,Victor McLaglen,The Informer	,,,,
1937.0,41.0,Paul Muni,The Story of Louis Pasteur	,,,,
1938.0,37.0,Spencer Tracy,Captains Courageous,,,,
1939.0,38.0,Spencer Tracy,Boys Town,,,,
1940.0,34.0,Robert Donat,"Goodbye, Mr. Chips	",,,,
1941.0,32.0,James Stewart,The Philadelphia Story,,,,
1942.0,40.0,Gary Cooper,Sergeant York,,,,
1943.0,43.0,James Cagney,Yankee Doodle Dandy	,,,,
1944.0,48.0,Paul Lukas,Watch on the Rhine	,,,,
1945.0,41.0,Bing Crosby,Going My Way,,,,
1946.0,39.0,Ray Milland,The Lost Weekend 	,,,,
1947.0,49.0,Fredric March,The Best Years of Our Lives,,,,
1948.0,57.0,Ronald Colman,A Double Life,,,,
1949.0,41.0,Laurence Olivier,Hamlet,,,,
1950.0,38.0,Broderick Crawford,All the King's Men,,,,
1951.0,39.0,José Ferrer,Cyrano de Bergerac,,,,
1952.0,52.0,Humphrey Bogart,The African Queen,,,,
1953.0,51.0,Gary Cooper,High Noon,,,,
1954.0,35.0,William Holden,Stalag 17,,,,
1955.0,30.0,Marlon Brando,On the Waterfront,,,,
1956.0,39.0,Ernest Borgnine,Marty,,,,
1957.0,36.0,Yul Brynner,The King and I,,,,
1958.0,43.0,Alec Guinness,The Bridge on the River Kwai,,,,
1959.0,49.0,David Niven,Separate Tables,,,,
1960.0,36.0,Charlton Heston,Ben-Hur,,,,
1961.0,47.0,Burt Lancaster,Elmer Gantry,,,,
1962.0,31.0,Maximilian Schell,Judgment at Nuremberg	,,,,
1963.0,47.0,Gregory Peck,To Kill a Mockingbird,,,,
1964.0,37.0,Sidney Poitier,Lilies of the Field,,,,
1965.0,57.0,Rex Harrison,My Fair Lady,,,,
1966.0,42.0,Lee Marvin,Cat Ballou	,,,,
1967.0,45.0,Paul Scofield,A Man for All Seasons,,,,
1968.0,42.0,Rod Steiger,In the Heat of the Night	,,,,
1969.0,45.0,Cliff Robertson,Charly,,,,
1970.0,62.0,John Wayne,True Grit,,,,
1971.0,43.0,George C. Scott,Patton,,,,
1972.0,42.0,Gene Hackman,The French Connection,,,,
1973.0,48.0,Marlon Brando,The Godfather,,,,
1974.0,49.0,Jack Lemmon,Save the Tiger,,,,
1975.0,56.0,Art Carney,Harry and Tonto,,,,
1976.0,38.0,Jack Nicholson,One Flew Over the Cuckoo's Nest,,,,
1977.0,60.0,Peter Finch,Network,,,,
1978.0,30.0,Richard Dreyfuss,The Goodbye Girl,,,,
1979.0,40.0,Jon Voight,Coming Home,,,,
1980.0,42.0,Dustin Hoffman,Kramer vs. Kramer,,,,
1981.0,37.0,Robert De Niro,Raging Bull,,,,
1982.0,76.0,Henry Fonda,On Golden Pond,,,,
1983.0,39.0,Ben Kingsley,Gandhi,,,,
1984.0,53.0,Robert Duvall,Tender Mercies,,,,
1985.0,45.0,F. Murray Abraham,Amadeus,,,,
1986.0,36.0,William Hurt,Kiss of the Spider Woman,,,,
1987.0,62.0,Paul Newman,The Color of Money,,,,
1988.0,43.0,Michael Douglas,Wall Street,,,,
1989.0,51.0,Dustin Hoffman,Rain Man,,,,
1990.0,32.0,Daniel Day-Lewis,My Left Foot,,,,
1991.0,42.0,Jeremy Irons,Reversal of Fortune,,,,
1992.0,54.0,Anthony Hopkins,The Silence of the Lambs,,,,
1993.0,52.0,Al Pacino,Scent of a Woman,,,,
1994.0,37.0,Tom Hanks,Philadelphia,,,,
1995.0,38.0,Tom Hanks,Forrest Gump,,,,
1996.0,32.0,Nicolas Cage,Leaving Las Vegas,,,,
1997.0,45.0,Geoffrey Rush,Shine,,,,
1998.0,60.0,Jack Nicholson,As Good as It Gets,,,,
1999.0,46.0,Roberto Benigni,Life Is Beautiful,,,,
2000.0,40.0,Kevin Spacey,American Beauty,,,,
2001.0,36.0,Russell Crowe,Gladiator,,,,
2002.0,47.0,Denzel Washington,Training Day	,,,,
2003.0,29.0,Adrien Brody,The Pianist,,,,
2004.0,43.0,Sean Penn,Mystic River,,,,
2005.0,37.0,Jamie Foxx,Ray,,,,
2006.0,38.0,Philip Seymour Hoffman,Capote,,,,
2007.0,45.0,Forest Whitaker,The Last King of Scotland	,,,,
2008.0,50.0,Daniel Day-Lewis,There Will Be Blood,,,,
2009.0,48.0,Sean Penn,Milk,,,,
2010.0,60.0,Jeff Bridges,Crazy Heart,,,,
2011.0,50.0,Colin Firth,The King's Speech	,,,,
2012.0,39.0,Jean Dujardin,The Artist,,,,
2013.0,55.0,Daniel Day-Lewis,Lincoln,,,,
2014.0,44.0,Matthew McConaughey,Dallas Buyers Club,,,,
2015.0,33.0,Eddie Redmayne,The Theory of Everything	,,,,
2016.0,41.0,Leonardo DiCaprio,The Revenant,,,,
1928.0,22.0,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",,,,
1929.0,37.0,Mary Pickford,Coquette,,,,
1930.0,28.0,Norma Shearer,The Divorcee	,,,,
1931.0,63.0,Marie Dressler,Min and Bill,,,,
1932.0,32.0,Helen Hayes,The Sin of Madelon Claudet	,,,,
1933.0,26.0,Katharine Hepburn,Morning Glory,,,,
1934.0,31.0,Claudette Colbert,It Happened One Night,,,,
1935.0,27.0,Bette Davis,Dangerous,,,,
1936.0,27.0,Luise Rainer,The Great Ziegfeld,,,,
1937.0,28.0,Luise Rainer,The Good Earth,,,,
1938.0,30.0,Bette Davis,Jezebel,,,,
1939.0,26.0,Vivien Leigh,Gone with the Wind,,,,
1940.0,29.0,Ginger Rogers,Kitty Foyle,,,,
1941.0,24.0,Joan Fontaine,Suspicion	,,,,
1942.0,38.0,Greer Garson,Mrs. Miniver,,,,
1943.0,25.0,Jennifer Jones,The Song of Bernadette,,,,
1944.0,29.0,Ingrid Bergman,Gaslight,,,,
1945.0,40.0,Joan Crawford,Mildred Pierce,,,,
1946.0,30.0,Olivia de Havilland,To Each His Own,,,,
1947.0,35.0,Loretta Young,The Farmer's Daughter,,,,
1948.0,32.0,Jane Wyman,Johnny Belinda,,,,
1949.0,33.0,Olivia de Havilland,The Heiress,,,,
1950.0,29.0,Judy Holliday,Born Yesterday,,,,
1951.0,38.0,Vivien Leigh,A Streetcar Named Desire,,,,
1952.0,54.0,Shirley Booth,"Come Back, Little Sheba",,,,
1953.0,24.0,Audrey Hepburn,Roman Holiday,,,,
1954.0,25.0,Grace Kelly,The Country Girl,,,,
1955.0,48.0,Anna Magnani,The Rose Tattoo,,,,
1956.0,41.0,Ingrid Bergman,Anastasia,,,,
1957.0,28.0,Joanne Woodward,The Three Faces of Eve,,,,
1958.0,41.0,Susan Hayward,I Want to Live!,,,,
1959.0,39.0,Simone Signoret,Room at the Top,,,,
1960.0,29.0,Elizabeth Taylor,BUtterfield 8,,,,
1961.0,27.0,Sophia Loren,Two Women,,,,
1962.0,31.0,Anne Bancroft,The Miracle Worker,,,,
1963.0,31.0,Patricia Neal,Hud,,,,
1964.0,29.0,Julie Andrews,Mary Poppins,,,,
1965.0,25.0,Julie Christie,Darling,,,,
1966.0,35.0,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,,,,
1967.0,60.0,Katharine Hepburn,Guess Who's Coming to Dinner,,,,
1968.0,61.0,Katharine Hepburn,The Lion in Winter,,,,
1969.0,26.0,Barbra Streisand,Funny Girl,,,,
1970.0,35.0,Maggie Smith,The Prime of Miss Jean Brodie,,,,
1971.0,34.0,Glenda Jackson,Women in Love,,,,
1972.0,34.0,Jane Fonda,Klute,,,,
1973.0,27.0,Liza Minnelli,Cabaret,,,,
1974.0,37.0,Glenda Jackson,A Touch of Class,,,,
1975.0,42.0,Ellen Burstyn,Alice Doesn't Live Here Anymore	,,,,
1976.0,41.0,Louise Fletcher,One Flew Over the Cuckoo's Nest,,,,
1977.0,36.0,Faye Dunaway,Network,,,,
1978.0,32.0,Diane Keaton,Annie Hall,,,,
1979.0,41.0,Jane Fonda,Coming Home,,,,
1980.0,33.0,Sally Field,Norma Rae,,,,
1981.0,31.0,Sissy Spacek,Coal Miner's Daughter	,,,,
1982.0,74.0,Katharine Hepburn,On Golden Pond,,,,
1983.0,33.0,Meryl Streep,Sophie's Choice,,,,
1984.0,49.0,Shirley MacLaine,Terms of Endearment	,,,,
1985.0,38.0,Sally Field,Places in the Heart,,,,
1986.0,61.0,Geraldine Page,The Trip to Bountiful	,,,,
1987.0,21.0,Marlee Matlin,Children of a Lesser God,,,,
1988.0,41.0,Cher,Moonstruck,,,,
1989.0,26.0,Jodie Foster,The Accused,,,,
1990.0,80.0,Jessica Tandy,Driving Miss Daisy,,,,
1991.0,42.0,Kathy Bates,Misery,,,,
1992.0,29.0,Jodie Foster,The Silence of the Lambs,,,,
1993.0,33.0,Emma Thompson,Howards End,,,,
1994.0,36.0,Holly Hunter,The Piano,,,,
1995.0,45.0,Jessica Lange,Blue Sky,,,,
1996.0,49.0,Susan Sarandon,Dead Man Walking,,,,
1997.0,39.0,Frances McDormand,Fargo,,,,
1998.0,34.0,Helen Hunt,As Good as It Gets,,,,
1999.0,26.0,Gwyneth Paltrow,Shakespeare in Love,,,,
2000.0,25.0,Hilary Swank,Boys Don't Cry,,,,
2001.0,33.0,Julia Roberts,Erin Brockovich,,,,
2002.0,35.0,Halle Berry,Monster's Ball,,,,
