,year,age,name,movie,genre
0,1927,22,Janet Gaynor,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",F
1,1928,37,Mary Pickford,Coquette,F
2,1929,28,Norma Shearer,The Divorcee,F
3,1930,63,Marie Dressler,Min and Bill,F
4,1931,32,Helen Hayes,The Sin of Madelon Claudet,F
5,1932,26,Katharine Hepburn,Morning Glory,F
6,1933,31,Claudette Colbert,It Happened One Night,F
7,1934,27,Bette Davis,Dangerous,F
8,1935,27,Luise Rainer,The Great Ziegfeld,F
9,1936,28,Luise Rainer,The Good Earth,F
10,1937,30,Bette Davis,Jezebel,F
11,1938,26,Vivien Leigh,Gone with the Wind,F
12,1939,29,Ginger Rogers,Kitty Foyle,F
13,1940,24,Joan Fontaine,Suspicion,F
14,1941,38,Greer Garson,Mrs. Miniver,F
15,1942,25,Jennifer Jones,The Song of Bernadette,F
16,1943,29,Ingrid Bergman,Gaslight,F
17,1944,40,Joan Crawford,Mildred Pierce,F
18,1945,30,Olivia de Havilland,To Each His Own,F
19,1946,35,Loretta Young,The Farmer's Daughter,F
20,1947,32,Jane Wyman,Johnny Belinda,F
21,1948,33,Olivia de Havilland,The Heiress,F
22,1949,29,Judy Holliday,Born Yesterday,F
23,1950,38,Vivien Leigh,A Streetcar Named Desire,F
24,1951,54,Shirley Booth,"Come Back, Little Sheba",F
25,1952,24,Audrey Hepburn,Roman Holiday,F
26,1953,25,Grace Kelly,The Country Girl,F
27,1954,48,Anna Magnani,The Rose Tattoo,F
28,1955,41,Ingrid Bergman,Anastasia,F
29,1956,28,Joanne Woodward,The Three Faces of Eve,F
30,1957,41,Susan Hayward,I Want to Live!,F
31,1958,39,Simone Signoret,Room at the Top,F
32,1959,29,Elizabeth Taylor,BUtterfield 8,F
33,1960,27,Sophia Loren,Two Women,F
34,1961,31,Anne Bancroft,The Miracle Worker,F
35,1962,31,Patricia Neal,Hud,F
36,1963,29,Julie Andrews,Mary Poppins,F
37,1964,25,Julie Christie,Darling,F
38,1965,35,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,F
39,1966,60,Katharine Hepburn,Guess Who's Coming to Dinner,F
40,1967,61,Katharine Hepburn,The Lion in Winter,F
41,1968,26,Barbra Streisand,Funny Girl,F
42,1969,35,Maggie Smith,The Prime of Miss Jean Brodie,F
43,1970,34,Glenda Jackson,Women in Love,F
44,1971,34,Jane Fonda,Klute,F
45,1972,27,Liza Minnelli,Cabaret,F
46,1973,37,Glenda Jackson,A Touch of Class,F
47,1974,42,Ellen Burstyn,Alice Doesn't Live Here Anymore,F
48,1975,41,Louise Fletcher,One Flew Over the Cuckoo's Nest,F
49,1976,36,Faye Dunaway,Network,F
50,1977,32,Diane Keaton,Annie Hall,F
51,1978,41,Jane Fonda,Coming Home,F
52,1979,33,Sally Field,Norma Rae,F
53,1980,31,Sissy Spacek,Coal Miner's Daughter,F
54,1981,74,Katharine Hepburn,On Golden Pond,F
55,1982,33,Meryl Streep,Sophie's Choice,F
56,1983,49,Shirley MacLaine,Terms of Endearment,F
57,1984,38,Sally Field,Places in the Heart,F
58,1985,61,Geraldine Page,The Trip to Bountiful,F
59,1986,21,Marlee Matlin,Children of a Lesser God,F
60,1987,41,Cher,Moonstruck,F
61,1988,26,Jodie Foster,The Accused,F
62,1989,80,Jessica Tandy,Driving Miss Daisy,F
63,1990,42,Kathy Bates,Misery,F
64,1991,29,Jodie Foster,The Silence of the Lambs,F
65,1992,33,Emma Thompson,Howards End,F
66,1993,36,Holly Hunter,The Piano,F
67,1994,45,Jessica Lange,Blue Sky,F
68,1995,49,Susan Sarandon,Dead Man Walking,F
69,1996,39,Frances McDormand,Fargo,F
70,1997,34,Helen Hunt,As Good as It Gets,F
71,1998,26,Gwyneth Paltrow,Shakespeare in Love,F
72,1999,25,Hilary Swank,Boys Don't Cry,F
73,2000,33,Julia Roberts,Erin Brockovich,F
74,2001,35,Halle Berry,Monster's Ball,F
75,2002,35,Nicole Kidman,The Hours,F
76,2003,28,Charlize Theron,Monster,F
77,2004,30,Hilary Swank,Million Dollar Baby,F
78,2005,29,Reese Witherspoon,Walk the Line,F
79,2006,61,Helen Mirren,The Queen,F
80,2007,32,Marion Cotillard,La Vie en rose,F
81,2008,33,Kate Winslet,The Reader,F
82,2009,45,Sandra Bullock,The Blind Side,F
83,2010,29,Natalie Portman,Black Swan,F
84,2011,62,Meryl Streep,The Iron Lady,F
85,2012,22,Jennifer Lawrence,Silver Linings Playbook,F
86,2013,44,Cate Blanchett,Blue Jasmine,F
87,2014,54,Julianne Moore,Still Alice,F
88,2015,26,Brie Larson,Room,F
