,year,age,name,movie,genre
0,1927,44,Emil Jannings,"The Last Command, The Way of All Flesh",M
1,1928,41,Warner Baxter,In Old Arizona,M
2,1929,62,George Arliss,Disraeli,M
3,1930,53,Lionel Barrymore,A Free Soul,M
4,1931,47,Wallace Beery,The Champ,M
5,1932,35,Fredric March,Dr. Jekyll and Mr. Hyde,M
6,1933,34,Charles Laughton,The Private Life of Henry VIII,M
7,1934,34,Clark Gable,It Happened One Night,M
8,1935,49,Victor McLaglen,The Informer,M
9,1936,41,Paul Muni,The Story of Louis Pasteur,M
10,1937,37,Spencer Tracy,Captains Courageous,M
11,1938,38,Spencer Tracy,Boys Town,M
12,1939,34,Robert Donat,"Goodbye, Mr. Chips",M
13,1940,32,James Stewart,The Philadelphia Story,M
14,1941,40,Gary Cooper,Sergeant York,M
15,1942,43,James Cagney,Yankee Doodle Dandy,M
16,1943,48,Paul Lukas,Watch on the Rhine,M
17,1944,41,Bing Crosby,Going My Way,M
18,1945,39,Ray Milland,The Lost Weekend ,M
19,1946,49,Fredric March,The Best Years of Our Lives,M
20,1947,57,Ronald Colman,A Double Life,M
21,1948,41,Laurence Olivier,Hamlet,M
22,1949,38,Broderick Crawford,All the King's Men,M
23,1950,39,José Ferrer,Cyrano de Bergerac,M
24,1951,52,Humphrey Bogart,The African Queen,M
25,1952,51,Gary Cooper,High Noon,M
26,1953,35,William Holden,Stalag 17,M
27,1954,30,Marlon Brando,On the Waterfront,M
28,1955,39,Ernest Borgnine,Marty,M
29,1956,36,Yul Brynner,The King and I,M
30,1957,43,Alec Guinness,The Bridge on the River Kwai,M
31,1958,49,David Niven,Separate Tables,M
32,1959,36,Charlton Heston,Ben-Hur,M
33,1960,47,Burt Lancaster,Elmer Gantry,M
34,1961,31,Maximilian Schell,Judgment at Nuremberg,M
35,1962,47,Gregory Peck,To Kill a Mockingbird,M
36,1963,37,Sidney Poitier,Lilies of the Field,M
37,1964,57,Rex Harrison,My Fair Lady,M
38,1965,42,Lee Marvin,Cat Ballou,M
39,1966,45,Paul Scofield,A Man for All Seasons,M
40,1967,42,Rod Steiger,In the Heat of the Night,M
41,1968,45,Cliff Robertson,Charly,M
42,1969,62,John Wayne,True Grit,M
43,1970,43,George C. Scott,Patton,M
44,1971,42,Gene Hackman,The French Connection,M
45,1972,48,Marlon Brando,The Godfather,M
46,1973,49,Jack Lemmon,Save the Tiger,M
47,1974,56,Art Carney,Harry and Tonto,M
48,1975,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,M
49,1976,60,Peter Finch,Network,M
50,1977,30,Richard Dreyfuss,The Goodbye Girl,M
51,1978,40,Jon Voight,Coming Home,M
52,1979,42,Dustin Hoffman,Kramer vs. Kramer,M
53,1980,37,Robert De Niro,Raging Bull,M
54,1981,76,Henry Fonda,On Golden Pond,M
55,1982,39,Ben Kingsley,Gandhi,M
56,1983,53,Robert Duvall,Tender Mercies,M
57,1984,45,F. Murray Abraham,Amadeus,M
58,1985,36,William Hurt,Kiss of the Spider Woman,M
59,1986,62,Paul Newman,The Color of Money,M
60,1987,43,Michael Douglas,Wall Street,M
61,1988,51,Dustin Hoffman,Rain Man,M
62,1989,32,Daniel Day-Lewis,My Left Foot,M
63,1990,42,Jeremy Irons,Reversal of Fortune,M
64,1991,54,Anthony Hopkins,The Silence of the Lambs,M
65,1992,52,Al Pacino,Scent of a Woman,M
66,1993,37,Tom Hanks,Philadelphia,M
67,1994,38,Tom Hanks,Forrest Gump,M
68,1995,32,Nicolas Cage,Leaving Las Vegas,M
69,1996,45,Geoffrey Rush,Shine,M
70,1997,60,Jack Nicholson,As Good as It Gets,M
71,1998,46,Roberto Benigni,Life Is Beautiful,M
72,1999,40,Kevin Spacey,American Beauty,M
73,2000,36,Russell Crowe,Gladiator,M
74,2001,47,Denzel Washington,Training Day,M
75,2002,29,Adrien Brody,The Pianist,M
76,2003,43,Sean Penn,Mystic River,M
77,2004,37,Jamie Foxx,Ray,M
78,2005,38,Philip Seymour Hoffman,Capote,M
79,2006,45,Forest Whitaker,The Last King of Scotland,M
80,2007,50,Daniel Day-Lewis,There Will Be Blood,M
81,2008,48,Sean Penn,Milk,M
82,2009,60,Jeff Bridges,Crazy Heart,M
83,2010,50,Colin Firth,The King's Speech,M
84,2011,39,Jean Dujardin,The Artist,M
85,2012,55,Daniel Day-Lewis,Lincoln,M
86,2013,44,Matthew McConaughey,Dallas Buyers Club,M
87,2014,33,Eddie Redmayne,The Theory of Everything,M
88,2015,41,Leonardo DiCaprio,The Revenant,M
