,year,name,movie,genre,age
0,1927,Janet Gaynor ‡,7th Heaven,F,
1,1927,Janet Gaynor ‡,Street Angel,F,
2,1927,Janet Gaynor ‡,Sunrise: A Song of Two Humans,F,
3,1927,Louise Dresser,A Ship Comes In,F,
4,1927,Gloria Swanson,Sadie Thompson,F,
5,1928,Mary Pickford ‡,Coquette,F,
6,1928,Ruth Chatterton,Madame X,F,
7,1928,Betty Compson,The Barker,F,
8,1928,Jeanne Eagels †,The Letter,F,
9,1928,Corinne Griffith,The Divine Lady,F,
10,1928,Bessie Love,The Broadway Melody,F,
0,1929,Norma Shearer ‡[A],The Divorcee,F,
1,1929,Nancy Carroll,The Devil's Holiday,F,
2,1929,Ruth Chatterton,Sarah and Son,F,
3,1929,Greta Garbo[A],Anna Christie,F,
4,1929,Greta Garbo[A],Romance,F,
5,1929,Norma Shearer,Their Own Desire,F,
6,1929,Gloria Swanson,The Trespasser,F,
7,1930,Marie Dressler ‡,Min and Bill,F,
8,1930,Marlene Dietrich,Morocco,F,
9,1930,Irene Dunne,Cimarron,F,
10,1930,Ann Harding,Holiday,F,
11,1930,Norma Shearer,A Free Soul,F,
12,1931,Helen Hayes ‡,The Sin of Madelon Claudet,F,
13,1931,Marie Dressler,Emma,F,
14,1931,Lynn Fontanne,The Guardsman,F,
15,1932,Katharine Hepburn ‡,Morning Glory,F,
16,1932,May Robson,Lady for a Day,F,
17,1932,Diana Wynyard,Cavalcade,F,
18,1934,Claudette Colbert ‡,It Happened One Night,F,
19,1934,Grace Moore,One Night of Love,F,
20,1934,Norma Shearer,The Barretts of Wimpole Street,F,
21,1934,Bette Davis (Write-in)[B],Of Human Bondage,F,
22,1935,Bette Davis ‡,Dangerous,F,
23,1935,Elisabeth Bergner,Escape Me Never,F,
24,1935,Claudette Colbert,Private Worlds,F,
25,1935,Katharine Hepburn,Alice Adams,F,
26,1935,Miriam Hopkins,Becky Sharp,F,
27,1935,Merle Oberon,The Dark Angel,F,
28,1936,Luise Rainer ‡,The Great Ziegfeld,F,
29,1936,Irene Dunne,Theodora Goes Wild,F,
30,1936,Gladys George,Valiant Is the Word for Carrie,F,
31,1936,Carole Lombard,My Man Godfrey,F,
32,1936,Norma Shearer,Romeo and Juliet,F,
33,1937,Luise Rainer ‡,The Good Earth,F,
34,1937,Irene Dunne,The Awful Truth,F,
35,1937,Greta Garbo,Camille,F,
36,1937,Janet Gaynor,A Star Is Born,F,
37,1937,Barbara Stanwyck,Stella Dallas,F,
38,1938,Bette Davis ‡,Jezebel,F,
39,1938,Fay Bainter,White Banners,F,
40,1938,Wendy Hiller,Pygmalion,F,
41,1938,Norma Shearer,Marie Antoinette,F,
42,1938,Margaret Sullavan,Three Comrades,F,
43,1939,Vivien Leigh ‡,Gone with the Wind,F,
44,1939,Bette Davis,Dark Victory,F,
45,1939,Irene Dunne,Love Affair,F,
46,1939,Greta Garbo,Ninotchka,F,
47,1939,Greer Garson,"Goodbye, Mr. Chips",F,
0,1940,Ginger Rogers ‡,Kitty Foyle,F,
1,1940,Bette Davis,The Letter,F,
2,1940,Joan Fontaine,Rebecca,F,
3,1940,Katharine Hepburn,The Philadelphia Story,F,
4,1940,Martha Scott,Our Town,F,
5,1941,Joan Fontaine ‡,Suspicion,F,
6,1941,Bette Davis,The Little Foxes,F,
7,1941,Olivia de Havilland,Hold Back the Dawn,F,
8,1941,Greer Garson,Blossoms in the Dust,F,
9,1941,Barbara Stanwyck,Ball of Fire,F,
10,1942,Greer Garson ‡,Mrs. Miniver,F,
